State,Best Model,RMSE
Alabama,XGBoost,1822279.929839346
Arizona,Prophet,4342255.369415519
Arkansas,Prophet,2564573.252119448
California,ARIMA,6164605.432685489
Colorado,ARIMA,2767254.4077470894
Connecticut,XGBoost,724153.283912077
Florida,ARIMA,17708492.052812744
Georgia,ARIMA,1979265.5357889838
Illinois,ARIMA,6618006.351705551
Indiana,XGBoost,539524.1836496708
Iowa,ARIMA,970397.7046120003
Kansas,Prophet,1819267.9261746379
Kentucky,XGBoost,1934237.7433258921
Louisiana,ARIMA,2154964.56826998
Maine,ARIMA,737685.0088643417
Maryland,ARIMA,1460177.2849649885
Massachusetts,XGBoost,1460544.1828352904
Michigan,XGBoost,3082942.5196144176
Minnesota,ARIMA,813000.8366555601
Mississippi,XGBoost,654280.537692165
Missouri,XGBoost,2712967.022233287
Nebraska,ARIMA,2298063.195315504
Nevada,ARIMA,2220015.1843966316
New Hampshire,ARIMA,153981.40590247218
New Mexico,XGBoost,1170610.6718331904
New York,ARIMA,1827481.6705771445
North Carolina,XGBoost,5768688.415799322
Ohio,XGBoost,7666286.12992659
Oklahoma,Prophet,2889954.0964995464
Oregon,XGBoost,1270933.4734190225
Pennsylvania,XGBoost,2246760.4266415914
Rhode Island,XGBoost,456569.646222206
South Carolina,XGBoost,1425465.0480866423
South Dakota,ARIMA,85938.22002106658
Tennessee,XGBoost,1939180.3406566773
Texas,ARIMA,10316542.330222042
Utah,ARIMA,1447439.1645069742
Vermont,XGBoost,177846.62097823556
Virginia,XGBoost,4611064.432259758
Washington,ARIMA,1184295.0497616846
West Virginia,Prophet,1701764.7197706632
Wisconsin,XGBoost,2538051.5050550387
Wyoming,ARIMA,21671.319326371817
